mode	label	channel	graph	scale	mean_radius	re	im	abs	jacobian
summed	GL14_bins128_im_minus	None	7	0.5	8246.00484902501	-0.0020795184883879566	-0.01959279838673196	0.019702846133659822	2.484976418593825e+47
summed	GL14_bins128_im_minus	None	7	0.25	16493.00969805002	-0.0041570588212307994	-0.039176560442565365	0.03939649763815497	6.36427770691768e+49
summed	GL14_bins128_im_minus	None	7	0.125	32987.01939610004	-0.008312140527242514	-0.07834408712622942	0.0787838033341045	1.629605639108542e+52
summed	GL14_bins128_im_minus	None	7	0.0625	65975.03879253322	-0.016622304461380806	-0.15667914177649178	0.1575584160666286	4.1722391816774216e+54
summed	GL18_re_plus_80M	None	10	16.0	2056.2006895537943	0.0152870582244649	0.016788476117128096	0.02270566183782275	3.3195220803022064e+43
summed	GL18_re_plus_80M	None	10	8.0	4113.401379107589	0.030537192010173395	0.03356009324177172	0.0453740008624169	8.506464555648617e+45
summed	GL18_re_plus_80M	None	10	4.0	8227.802758215177	0.06103749166300265	0.06710332766917625	0.09071070484120357	2.1787419990607044e+48
summed	GL18_re_plus_80M	None	10	2.0	16456.605516430354	0.12203810700073445	0.13418979662055505	0.18138412575908797	5.578971358086577e+50
summed	GL18_re_plus_80M	None	10	1.0	32914.21103286071	0.24403934568704094	0.2683627345697078	0.36273097406906196	1.4283948480430382e+53
summed	GL18_re_plus_80M	None	10	0.5	65829.42206563668	0.4880418270722866	0.5367086104556086	0.7254246739043592	3.65691889768933e+55
summed	GL18_re_plus_80M	None	10	0.25	131659.84413192148	0.976046791817718	1.0734003623103947	1.4508120752274385	9.362004339589753e+57
summed	GL18_re_plus_80M	None	10	0.125	263320.68826519884	1.9520567225320429	2.1467838659150495	2.9015868787502654	2.3967104827345258e+60
summed	GL18_re_plus_80M	None	10	0.0625	526642.3765146042	3.904076583739414	4.293550873069839	5.803136485672312	6.135626670534234e+62
selected_channel	GL06_prob1000	0	4	16.0	978.1094712229884	0.0003362486962784766	5.293677237458492e-05	0.00034039019906338935	3.996057410090965e+40
selected_channel	GL06_prob1000	0	4	8.0	1957.2189424459768	0.000672777134163574	0.00010651968765756937	0.000681157482607376	1.0256035185859069e+43
selected_channel	GL06_prob1000	0	4	4.0	3915.4378848919537	0.0013458320639884317	0.0002136836127305629	0.0013626902182113686	2.6288939019144502e+45
selected_channel	GL06_prob1000	0	4	2.0	7831.875769783907	0.0026919409518728764	0.00042801051166761284	0.0027257547737219905	6.7342578443981054e+47
selected_channel	GL06_prob1000	0	4	1.0	15664.751539567815	0.005384158242031795	0.0008566638343523703	0.00545188342688343	1.7245192422561031e+50
selected_channel	GL06_prob1000	0	4	0.5	31330.50307913563	0.010768592579867058	0.0017139702421156374	0.010904140504506799	4.415472397453225e+52
