include_integrated_ct	mode	delta	abs_subtracted	measure_weighted_delta2_abs_subtracted
False	3d_cff_expansion	2.0997893671225114	152228.54601907736	671193.2244838622
False	3d_cff_expansion	2.2247454883893707	137464.84758536913	680381.2305028138
False	3d_cff_expansion	2.357137608945747	124049.91971841757	689233.474563862
False	3d_cff_expansion	2.497408236808644	111871.99805529171	697751.0106827193
False	3d_cff_expansion	2.6460262131531764	100827.07975404704	705936.2335177368
False	3d_cff_expansion	2.8034882793694424	90818.56694851251	713792.7529524165
False	3d_cff_expansion	2.9703207373731604	81756.90653040272	721325.266847467
False	3d_cff_expansion	3.147081208719529	73559.22832527559	728539.4343181358
False	3d_cff_expansion	3.334360498400048	66148.98379763548	735441.7514900015
False	3d_cff_expansion	3.532784569551749	59455.587422971264	742039.4313493173
False	3d_cff_expansion	3.7430166356791976	53414.062795189064	748340.2889684486
False	3d_cff_expansion	3.9657593773822573	47964.695422392426	754352.6332584006
False	3d_cff_expansion	4.201757290998918	43052.693966376886	760085.165854017
False	3d_cff_expansion	4.451799177013172	38627.86149811506	765546.8877645073
False	3d_cff_expansion	4.716720776545259	34644.27809907985	770747.0139943459
False	3d_cff_expansion	4.997407564736579	31059.995912251004	775694.896264983
False	3d_cff_expansion	5.294797710365759	27836.74750708131	780399.9537186916
False	3d_cff_expansion	5.6098852115881375	24939.668200796907	784871.6114642791
False	3d_cff_expansion	5.943723218279724	22337.032758174842	789119.2465765201
False	3d_cff_expansion	6.297427552090019	20000.006700868893	793152.1412167863
False	3d_cff_expansion	6.672180435969318	17902.41227687968	796979.4424076347
False	3d_cff_expansion	7.069234445635948	16020.508986077068	800610.1279795188
False	3d_cff_expansion	7.489916696191037	14332.788423359452	804052.978170257
False	3d_cff_expansion	7.935633277873942	12819.783089642297	807316.5524053128
False	3d_cff_expansion	8.407873955784511	11463.888727247395	810409.1707159495
False	3d_cff_expansion	8.908217149280727	10249.199665228705	813338.899349632
False	3d_cff_expansion	9.4383352076946	9161.35660329122	816113.5400411525
False	3d_cff_expansion	10.0	8187.4062259882485	818740.6225988248
True	3d_cff_expansion	9.999999999999999e-06	152876005166.3448	15.287600516634475
True	3d_cff_expansion	1.0595088837115579e-05	144367323991.55768	16.206084963163924
True	3d_cff_expansion	1.1225590746637138e-05	136324316570.50636	17.178757106960177
True	3d_cff_expansion	1.1893613120972307e-05	128722900303.32924	18.208888288150316
True	3d_cff_expansion	1.2601388761098507e-05	121539359508.66444	19.29984243619081
True	3d_cff_expansion	1.3351283339486879e-05	114752044812.78624	20.455328493308084
True	3d_cff_expansion	1.4145803307136463e-05	108339669610.66693	21.679174293317356
True	3d_cff_expansion	1.4987604271147418e-05	102282268933.39816	22.97549032794017
True	3d_cff_expansion	1.5879499870833977e-05	96560796551.03163	24.34862717635931
True	3d_cff_expansion	1.682447118204517e-05	91156850438.9552	25.80311610977215
True	3d_cff_expansion	1.782567668112595e-05	86053332635.51334	27.343855124261744
True	3d_cff_expansion	1.8886462801822905e-05	81233847489.39565	28.975989693692068
True	3d_cff_expansion	2.001037512041929e-05	76682823117.21365	30.70496124222136
True	3d_cff_expansion	2.1201170206484973e-05	72385597718.18271	32.53657467604848
