point_index	source	x2	dx2_from_root	event_graph_id	event_graph_name	term_key	edge_ids	weighted_re	weighted_im	weighted_abs	pole_scaled_re	pole_scaled_im	pole_scaled_abs	raw_re	raw_im	raw_abs
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:20:0	13,15	-7.611819994908603e-28	-4.440654343797584e-27	4.50541996238278e-27	4.1691655133884247e-35	2.4322465533108936e-34	2.467720143548088e-34	-1.4036429581399207e-47	-8.18870283765791e-47	8.308132625169298e-47
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:22:0	9,13,14	2.8888087585772333e-08	-8.363597156406529e-07	8.368584680523207e-07	-1.5822657208250554e-15	4.580930822810699e-14	4.583662602274527e-14	5.327051971935849e-28	-1.5422729729764252e-26	1.543192687723964e-26
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:23:0	10,14	-5.617676575779755e-08	-2.237006068403349e-08	6.046692175077044e-08	3.0769281802219172e-15	1.2252586845020179e-15	3.3119097013945557e-15	-1.0359167941405734e-27	-4.125107815648409e-28	1.1150285867589758e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:24:0	9,11,14	-3.3992230967929896e-06	1.5912310320150062e-05	1.627133483726904e-05	1.8618311674398577e-13	-8.715531301249714e-13	8.912177127902811e-13	-6.268271669786568e-26	2.9342788378542056e-25	3.000484060204539e-25
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:35:0	13,16	-3.8464812221994096e-74	-2.2643022111249355e-73	2.2967408824751212e-73	2.1068045316647683e-81	1.2402093975981613e-80	1.2579767896257968e-80	-7.093029373748958e-94	-4.175442740201491e-93	4.235260645305079e-93
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:36:0	9,14,16	-9.254699853518328e-28	-4.463960273607136e-27	4.558885392081032e-27	5.069007870897874e-35	2.4450117367866497e-34	2.4970043654300476e-34	-1.7065950439945387e-47	-8.231679687191874e-47	8.406724517712831e-47
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:37:0	9,10,16	2.7408467559908726e-20	-7.031615217300065e-18	7.031668634702563e-18	-1.5012235943838676e-27	3.8513742688336774e-25	3.8514035267499786e-25	5.054205500078208e-40	-1.2966514172319512e-37	1.2966612675648427e-37
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:38:0	11,16	-4.099196835825023e-08	-2.8985589061613303e-08	5.020463965743111e-08	2.245222573831746e-15	1.5876060965939588e-15	2.749821362195362e-15	-7.559044717930598e-28	-5.345031543190026e-28	9.257889567572668e-28
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:39:0	9,12,16	-4.5198137993149546e-10	-7.287298770891042e-10	8.57516414750808e-10	2.4756039727220695e-17	3.991417918668424e-17	4.696810836219047e-17	-8.334675302037608e-30	-1.343800248884594e-29	1.5812865751679088e-29
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	4	GL06_isr_p1_ct	threshold_counterterm:40:0		-5.807149212139997e-08	-4.029133611396882e-08	7.068019498455438e-08	3.1807066171492596e-15	2.206847365374638e-15	3.8713137148051e-15	-1.0708561295380407e-27	-7.429845982728087e-28	1.3033644783558434e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	5	GL06_isr_p2_ct	original		-4.503666985171498e-06	-1.4797870352821989e-06	4.740547013068535e-06	2.4667599983870193e-13	8.105127392377232e-14	2.596504533042253e-13	-8.304900081414923e-26	-2.728772689067707e-26	8.741714119718592e-26
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	5	GL06_isr_p2_ct	threshold_counterterm:3:0	9,11,12	-5.091976087946666e-08	-5.611954003494381e-08	7.577746909046068e-08	2.7889901646472987e-15	3.0737937982953855e-15	4.150502915664383e-15	-9.389760114721444e-28	-1.034861534255791e-27	1.3973597765795272e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	5	GL06_isr_p2_ct	threshold_counterterm:6:0		7.341728836562676e-06	4.08942038156976e-05	4.154800702836939e-05	-4.0212304934325974e-13	-2.239867789305637e-12	2.2756780660677915e-12	1.3538373199716908e-25	7.54101663636777e-25	7.661579954482209e-25
