R	epsilon	W_toy
5.1151780992931450e+01	2.9999999999999999e-02	1.4285146274498493e+03
5.9176857481888248e+01	2.9999999999999999e-02	1.7186611925575442e+03
6.8460968385746582e+01	2.9999999999999999e-02	2.0517533093023467e+03
7.9201640501925525e+01	2.9999999999999999e-02	2.4333295665689079e+03
9.1627390118867410e+01	2.9999999999999999e-02	2.8702169057676997e+03
1.0600258488068825e+02	2.9999999999999999e-02	3.3706941016217993e+03
1.2263306841775632e+02	2.9999999999999999e-02	3.9446450739164052e+03
1.4187266741165962e+02	2.9999999999999999e-02	4.6037267688510710e+03
1.6413071953751299e+02	2.9999999999999999e-02	5.3615705715249342e+03
1.8988078244652633e+02	2.9999999999999999e-02	6.2340301089449658e+03
2.1967070907932353e+02	2.9999999999999999e-02	7.2394841447373610e+03
2.5413430367026390e+02	2.9999999999999999e-02	8.3992013844705307e+03
2.9400480643347106e+02	2.9999999999999999e-02	9.7377738954222714e+03
3.4013049382792531e+02	2.9999999999999999e-02	1.1283626862922081e+04
3.9349272630958495e+02	2.9999999999999999e-02	1.3069614085160616e+04
4.5522682755073095e+02	2.9999999999999999e-02	1.5133710680825452e+04
5.2664623934842803e+02	2.9999999999999999e-02	1.7519816835260910e+04
6.0927046613686809e+02	2.9999999999999999e-02	2.0278689023474799e+04
7.0485740364519029e+02	2.9999999999999999e-02	2.3469018057799804e+04
8.1544073951851703e+02	2.9999999999999999e-02	2.7158676577736544e+04
9.4337322162997839e+02	2.9999999999999999e-02	3.1426162308139228e+04
1.0913767146512739e+03	2.9999999999999999e-02	3.6362267648653826e+04
1.2626001098748563e+03	2.9999999999999999e-02	4.2072011021284488e+04
1.4606863203649889e+03	2.9999999999999999e-02	4.8676871004607427e+04
1.6898497868124587e+03	2.9999999999999999e-02	5.6317370746750319e+04
1.9549661430912615e+03	2.9999999999999999e-02	6.5156067615920809e+04
2.2616759492228643e+03	2.9999999999999999e-02	7.5381011678328461e+04
2.6165046987488236e+03	2.9999999999999999e-02	8.7209746574094097e+04
3.0270016537634647e+03	2.9999999999999999e-02	1.0089393790564408e+05
3.5019004614317128e+03	2.9999999999999999e-02	1.1672472760648406e+05
4.0513049692353820e+03	2.9999999999999999e-02	1.3503892820571602e+05
4.6869041923141922e+03	2.9999999999999999e-02	1.5622618877419454e+05
5.4222210065015915e+03	2.9999999999999999e-02	1.8073728501220851e+05
