graph,returncode,timed_out,result_emitted,neval,duration_s,max_hwm_gib,avg_total_time_s,avg_integrand_time_s,avg_evaluator_time_s,nan_or_unstable_percent,result_re,error_re,rel_error_re_percent,max_weight_impact_re,result_im,error_im,rel_error_im_percent,max_weight_impact_im,max_weight_re_plus,max_weight_re_minus,max_weight_im_plus,max_weight_im_minus
GL119,0,False,True,20,72.992,14.381,0.000433624,0.00029009,0.000251768,0.0,-1.5084071006889878e-06,1.754010855336103e-06,116.28232554294739,1.1457364518001825,1.2301423484733708e-07,6.556086913269389e-07,532.953517241774,3.4568624487843884,3.6924697418412118e-06,-3.456473998827203e-05,8.50486578219407e-06,-7.068436390824248e-06
GL122,0,False,True,20,88.585,14.949,0.000476712,0.00032001,0.000285144,0.0,1.6059949044368675e-06,1.4115268998453057e-06,87.89111945160555,0.8750332843150076,2.7370712750852663e-06,3.3409666731322527e-06,122.0635612796811,1.1859797636184077,2.810597991645118e-05,-3.635523161532591e-07,6.492222287664716e-05,-1.2812208448882279e-05
GL123,0,False,True,20,75.955,14.129,0.000468767,0.000327276,0.000287898,0.0,1.6736616256621733e-06,2.707906687010523e-06,161.795350116793,1.498473525208497,-2.190329077830584e-06,3.0198909891217812e-06,137.87384825812742,1.3444628164816446,5.0158752724243616e-05,-1.6502151117891017e-05,8.126370626520737e-06,-5.8896320020035e-05
GL125,0,False,True,20,76.883,14.331,0.000440718,0.000297024,0.000262642,0.0,-7.402909439495111e-07,2.0082597461537765e-06,271.2797937847991,2.3794052439044444,-1.00132373190717e-07,1.0091580455065377e-06,1007.8239567781402,7.764417303967537,1.3838095569162209e-05,-3.5229043080968756e-05,1.0674132660788713e-05,-1.5549390621786764e-05
GL127,0,False,True,20,78.766,14.406,0.000433133,0.000293945,0.000258251,0.0,-1.984875768697666e-06,1.217619558861574e-06,61.34487498230124,0.6073206872324934,1.1443136742847924e-06,8.208880196428618e-07,71.73627634537576,0.5805617617928598,3.289906148923958e-07,-2.4109122318331806e-05,1.3286895255728796e-05,-2.7605322449519568e-06
GL129,0,False,True,20,59.25,18.051,0.00047138,0.000312669,0.000272585,0.0,-2.7522997635398322e-05,2.6008894040684667e-05,94.49876930278005,0.910085945992184,1.6267034914817093e-05,1.530054555051691e-05,94.0586015253472,0.8665853859131761,5.833749515003087e-05,-0.0005009658667910425,0.0002819354945863976,-6.669950210769974e-05
GL130,0,False,True,20,64.832,17.924,0.000744365,0.000605887,0.000561165,0.0,-2.103587633734368e-05,1.0634881357076912e-05,50.55592258924564,0.310202840396628,2.6586015897797187e-07,1.650012991716065e-05,6206.319134311428,42.531246172140186,6.155912973822663e-05,-0.0001305077718015245,0.00017404769678444103,-0.00022614727737712894
GL132,0,False,True,20,60.891,18.052,0.000464381,0.000307787,0.000268236,0.0,1.7849529870989402e-05,2.608133657947488e-05,146.1177788321726,1.415703814320715,-4.0641559541234573e-05,3.204792227061419e-05,78.85505042713395,0.711749588055467,0.0005053929504438248,-7.117488860498428e-05,5.9688804469502707e-05,-0.0005785322652281089
GL134,0,False,True,20,66.688,17.886,0.000445579,0.000289817,0.000256309,0.0,-9.047526010015999e-05,6.487936459223445e-05,71.70950878771745,0.6295492537127468,-1.389277771663922e-05,5.046007563154571e-05,363.21084710878415,2.9273501571254292,3.504899279972699e-05,-0.0011391726495104475,0.0005547709242982989,-0.0008133805006342497
GL135,0,False,True,20,15.792,2.912,0.000200038,0.000107857,8.1693e-05,0.0,0.00014102313568877109,0.00010025682175444259,71.09246384628895,0.6380898169326034,-8.523385728917438e-05,8.261579018462293e-05,96.92837190780995,0.8936914894362613,0.0017997085366981925,-2.56199513152627e-06,0.000331755134020579,-0.0015234554574231997
GL136,0,False,True,20,17.161,2.924,0.000200098,0.000109642,8.2286e-05,0.0,-4.387622648585469e-05,4.122745292407835e-05,93.9630780175905,0.7661425431104073,-5.563954179458377e-06,5.405049612092592e-05,971.4403529862905,8.044832678026125,0.0002147421339073129,-0.0006723088748392185,0.00045865131036870727,-0.0008952216080389359
GL138,0,False,True,20,17.177,2.928,0.000200374,0.000109836,8.3582e-05,0.0,0.00022214556857040992,0.0003206666684781605,144.349793039659,1.3934033757713036,0.0002125484218470993,0.00014960316318463792,70.38544999983945,0.6842669697114713,0.006190767703172896,-0.0011902694741966957,0.0029087972906854023,-4.8178014251796004e-05
GL140,0,False,True,20,17.96,2.882,0.00022771,0.000125194,9.384e-05,0.0,0.00012358719605572147,8.059668379022464e-05,65.21442864832551,0.5225302302379788,-2.4569063453314083e-05,7.799329465875737e-05,317.445126905059,2.1532258223798135,0.0012915609201892475,-1.0224430676590776e-05,0.0010054810572189957,-0.0010580548371872808
GL141,0,False,True,20,51.494,14.916,0.000380392,0.00025864,0.000217283,0.0,-5.400774427620033e-05,4.654967849150851e-05,86.19074748511876,0.6853859980784156,-4.2404937138421e-05,3.0557534453609406e-05,72.06126577634458,0.6736463665856776,0.00014570136388814128,-0.000740323034294148,3.19293039192734e-05,-0.0005713186365718273
GL143,0,False,True,20,75.367,22.037,0.000425783,0.0002952,0.000257695,0.0,5.261679345535256e-05,4.0164804872436756e-05,76.3345734979426,0.6390353742747648,2.547713758054702e-05,2.5321950516650933e-05,99.39087716033461,0.9874847447207681,0.0006724798459775843,-7.1145181851238e-05,0.0005031656939988472,-4.2057569575239736e-05
GL144,0,False,True,20,114.725,23.972,0.00035206,0.000274873,0.0002477,0.0,1.527495229730711e-06,1.6168247894833822e-06,105.84810728138376,1.0545694839627824,-8.45046147276548e-07,7.866772750089938e-07,93.0928183678882,0.9199894409472472,3.221699712345455e-05,-1.4147701851590789e-06,1.812157302129327e-06,-1.554867065215153e-05
GL145,0,False,True,20,107.716,24.109,0.000504559,0.000332069,0.000294618,0.0,3.238289590552834e-07,4.400610556564792e-07,135.8930519803675,1.2180783885773268,-2.3852892882537117e-07,5.390188794496099e-07,225.97631327319198,1.8844604337646984,7.888981132414655e-06,-3.198876395446835e-06,5.18385887233416e-06,-8.989966573593757e-06
GL147,0,False,True,20,72.615,21.674,0.000412751,0.000281701,0.0002474,0.0,1.7783090029595523e-05,2.0289522098254124e-05,114.09446875929477,1.128187555791589,-1.0948377402819466e-05,8.233730036453822e-06,75.20502567196343,0.7443362713293565,0.00040125321749822295,-3.543101506350893e-05,6.06167900881747e-06,-0.0001629854882624245
GL148,0,False,True,20,51.408,14.843,0.000355076,0.00025045,0.000226909,0.0,-2.56232668321952e-06,1.0424324973390202e-05,406.8304421000766,3.1969060530810154,7.416150676666412e-06,7.058028516757267e-06,95.17105064982144,0.8778353631970783,9.154015826987593e-05,-0.0001638303536711097,0.00013020318645551437,-1.7067880195705226e-05
GL152,0,False,True,20,54.504,13.609,0.000359183,0.000238048,0.000207551,0.0,-1.4158858373614087e-06,1.5020888753320679e-05,1060.8827602452075,8.096993055480821,3.316061406574029e-07,1.3509050445959573e-05,4073.8239705628303,32.98123268504666,0.0001807680959884625,-0.00022928835584937947,0.0002187355856962423,-0.00012263944950384405
GL156,0,False,True,20,67.308,20.189,0.000314919,0.000218375,0.000193892,0.0,-7.778218787559576e-05,7.844389605668185e-05,100.85071942453511,1.0049582375358574,-1.0715751442955183e-05,2.090237497070649e-05,195.06214829617255,1.7443469769302404,6.368822914025922e-05,-0.001563357008782833,0.000163911924019329,-0.00037383977270109473
